Year,City,lat,lon,State,Purpose,Trips
1/1/1998,Adelaide,-34.9285,138.6007,South Australia,Business,135.0776903
1/4/1998,Adelaide,-34.9285,138.6007,South Australia,Business,109.987316
1/7/1998,Adelaide,-34.9285,138.6007,South Australia,Business,166.0346866
1/10/1998,Adelaide,-34.9285,138.6007,South Australia,Business,127.1604643
1/1/1999,Adelaide,-34.9285,138.6007,South Australia,Business,137.4485333
1/4/1999,Adelaide,-34.9285,138.6007,South Australia,Business,199.9125861
1/7/1999,Adelaide,-34.9285,138.6007,South Australia,Business,169.3550898
1/10/1999,Adelaide,-34.9285,138.6007,South Australia,Business,134.3579372
1/1/2000,Adelaide,-34.9285,138.6007,South Australia,Business,154.034398
1/4/2000,Adelaide,-34.9285,138.6007,South Australia,Business,168.7763637
1/7/2000,Adelaide,-34.9285,138.6007,South Australia,Business,223.0651159
1/10/2000,Adelaide,-34.9285,138.6007,South Australia,Business,241.2206893
1/1/2001,Adelaide,-34.9285,138.6007,South Australia,Business,132.5000378
1/4/2001,Adelaide,-34.9285,138.6007,South Australia,Business,178.3980945
1/7/2001,Adelaide,-34.9285,138.6007,South Australia,Business,195.9963258
1/10/2001,Adelaide,-34.9285,138.6007,South Australia,Business,101.1746931
1/1/2002,Adelaide,-34.9285,138.6007,South Australia,Business,237.8327914
1/4/2002,Adelaide,-34.9285,138.6007,South Australia,Business,150.7266327
1/7/2002,Adelaide,-34.9285,138.6007,South Australia,Business,167.7128424
1/10/2002,Adelaide,-34.9285,138.6007,South Australia,Business,140.3395127
1/1/2003,Adelaide,-34.9285,138.6007,South Australia,Business,139.4467919
1/4/2003,Adelaide,-34.9285,138.6007,South Australia,Business,159.6580081
1/7/2003,Adelaide,-34.9285,138.6007,South Australia,Business,232.1073047
1/10/2003,Adelaide,-34.9285,138.6007,South Australia,Business,158.5960175
1/1/2004,Adelaide,-34.9285,138.6007,South Australia,Business,138.4674189
1/4/2004,Adelaide,-34.9285,138.6007,South Australia,Business,229.7141455
1/7/2004,Adelaide,-34.9285,138.6007,South Australia,Business,242.4943675
1/10/2004,Adelaide,-34.9285,138.6007,South Australia,Business,123.0611006
1/1/2005,Adelaide,-34.9285,138.6007,South Australia,Business,127.9992552
1/4/2005,Adelaide,-34.9285,138.6007,South Australia,Business,73.2530124
1/7/2005,Adelaide,-34.9285,138.6007,South Australia,Business,166.7247035
1/10/2005,Adelaide,-34.9285,138.6007,South Australia,Business,122.2969489
1/1/2006,Adelaide,-34.9285,138.6007,South Australia,Business,127.247714
1/4/2006,Adelaide,-34.9285,138.6007,South Australia,Business,176.075701
1/7/2006,Adelaide,-34.9285,138.6007,South Australia,Business,157.857561
1/10/2006,Adelaide,-34.9285,138.6007,South Australia,Business,106.677495
1/1/2007,Adelaide,-34.9285,138.6007,South Australia,Business,134.3680297
1/4/2007,Adelaide,-34.9285,138.6007,South Australia,Business,168.5935923
1/7/2007,Adelaide,-34.9285,138.6007,South Australia,Business,146.1038104
1/10/2007,Adelaide,-34.9285,138.6007,South Australia,Business,134.5737045
1/1/2008,Adelaide,-34.9285,138.6007,South Australia,Business,127.1683903
1/4/2008,Adelaide,-34.9285,138.6007,South Australia,Business,151.9719803
1/7/2008,Adelaide,-34.9285,138.6007,South Australia,Business,152.2058109
1/10/2008,Adelaide,-34.9285,138.6007,South Australia,Business,160.6362718
1/1/2009,Adelaide,-34.9285,138.6007,South Australia,Business,113.8600217
1/4/2009,Adelaide,-34.9285,138.6007,South Australia,Business,152.7243494
1/7/2009,Adelaide,-34.9285,138.6007,South Australia,Business,121.9832332
1/10/2009,Adelaide,-34.9285,138.6007,South Australia,Business,191.1538074
1/1/2010,Adelaide,-34.9285,138.6007,South Australia,Business,68.7253928
1/4/2010,Adelaide,-34.9285,138.6007,South Australia,Business,182.18332
1/7/2010,Adelaide,-34.9285,138.6007,South Australia,Business,120.5336824
1/10/2010,Adelaide,-34.9285,138.6007,South Australia,Business,155.0707525
1/1/2011,Adelaide,-34.9285,138.6007,South Australia,Business,109.699807
1/4/2011,Adelaide,-34.9285,138.6007,South Australia,Business,148.4397274
1/7/2011,Adelaide,-34.9285,138.6007,South Australia,Business,140.6574624
1/10/2011,Adelaide,-34.9285,138.6007,South Australia,Business,148.815411
1/1/2012,Adelaide,-34.9285,138.6007,South Australia,Business,126.8571108
1/4/2012,Adelaide,-34.9285,138.6007,South Australia,Business,154.920891
1/7/2012,Adelaide,-34.9285,138.6007,South Australia,Business,150.0191305
1/10/2012,Adelaide,-34.9285,138.6007,South Australia,Business,178.3637579
1/1/2013,Adelaide,-34.9285,138.6007,South Australia,Business,101.6471351
1/4/2013,Adelaide,-34.9285,138.6007,South Australia,Business,100.6409434
1/7/2013,Adelaide,-34.9285,138.6007,South Australia,Business,179.8741671
1/10/2013,Adelaide,-34.9285,138.6007,South Australia,Business,142.8077977
1/1/2014,Adelaide,-34.9285,138.6007,South Australia,Business,127.3236791
1/4/2014,Adelaide,-34.9285,138.6007,South Australia,Business,139.0854509
1/7/2014,Adelaide,-34.9285,138.6007,South Australia,Business,173.3228706
1/10/2014,Adelaide,-34.9285,138.6007,South Australia,Business,124.5883668
1/1/2015,Adelaide,-34.9285,138.6007,South Australia,Business,143.5832868
1/4/2015,Adelaide,-34.9285,138.6007,South Australia,Business,161.3704888
1/7/2015,Adelaide,-34.9285,138.6007,South Australia,Business,180.4919573
1/10/2015,Adelaide,-34.9285,138.6007,South Australia,Business,179.7114269
1/1/2016,Adelaide,-34.9285,138.6007,South Australia,Business,193.3044037
1/4/2016,Adelaide,-34.9285,138.6007,South Australia,Business,190.0252157
1/7/2016,Adelaide,-34.9285,138.6007,South Australia,Business,195.9832501
1/10/2016,Adelaide,-34.9285,138.6007,South Australia,Business,152.4288872
